,Longitude,Latitude,Datetime,Fire
210,-121.464,41.64100000000001,2020-07-24,1
211,-123.293,40.189,2020-09-09,1
212,-122.741,39.883,2020-08-31,1
213,-119.347,37.484,2020-09-17,1
214,-118.611,34.681999999999995,2020-08-18,1
215,-121.633,37.389,2020-08-20,1
216,-117.766,34.439,2020-09-19,1
217,-122.79,39.785,2020-08-21,1
218,-122.949,39.689,2020-09-09,1
219,-120.427,35.382,2020-08-02,1
220,-123.294,40.189,2020-09-09,1
221,-119.277,37.382,2020-09-12,1
222,-121.2,39.764,2020-09-09,1
223,-118.604,34.677,2020-08-17,1
224,-119.292,37.491,2020-09-17,1
225,-119.246,37.496,2020-09-17,1
226,-123.356,40.082,2020-09-09,1
227,-122.892,40.125,2020-09-08,1
228,-122.982,39.989,2020-09-09,1
229,-121.464,37.469,2020-08-17,1
230,-123.042,39.537,2020-09-13,1
231,-121.062,39.766,2020-09-08,1
232,-118.592,36.233,2020-09-13,1
233,-121.47,41.71,2020-07-29,1
234,-117.856,34.391,2020-09-18,1
235,-122.163,37.145,2020-08-20,1
236,-121.737,37.478,2020-08-18,1
237,-123.177,40.087,2020-09-08,1
238,-121.419,36.121,2020-09-08,1
239,-122.908,40.158,2020-09-08,1
240,-122.989,40.174,2020-09-08,1
241,-119.3,37.054,2020-09-09,1
242,-123.008,40.023,2020-09-10,1
243,-118.545,36.196,2020-09-12,1
244,-121.218,39.822,2020-09-15,1
245,-116.818,34.08,2020-08-02,1
246,-119.299,37.162,2020-09-07,1
247,-119.4,37.165,2020-09-07,1
248,-122.641,39.827,2020-09-03,1
249,-119.283,37.018,2020-09-09,1
250,-123.08,39.585,2020-09-14,1
251,-119.331,37.095,2020-09-07,1
252,-122.829,40.041,2020-09-08,1
253,-121.011,39.77,2020-09-08,1
254,-121.124,39.691,2020-09-09,1
255,-119.432,37.254,2020-09-07,1
256,-121.463,36.089,2020-09-08,1
257,-123.112,39.591,2020-09-17,1
258,-123.424,41.979,2020-09-09,1
259,-117.787,34.375,2020-09-22,1
260,-118.571,36.244,2020-09-14,1
261,-123.007,39.546,2020-09-10,1
262,-123.471,41.02,2020-09-10,1
263,-123.023,40.064,2020-09-17,1
264,-119.242,37.162,2020-09-07,1
265,-122.849,39.601,2020-08-31,1
266,-122.24,37.082,2020-08-20,1
267,-123.34,41.185,2020-09-11,1
268,-122.322,38.576,2020-08-21,1
269,-119.584,38.552,2020-09-03,1
270,-123.406,41.049,2020-09-08,1
271,-123.445,40.149,2020-09-09,1
272,-122.982,39.601,2020-09-10,1
273,-121.408,39.663,2020-09-09,1
274,-118.566,36.12300000000001,2020-09-16,1
275,-123.072,40.067,2020-09-14,1
276,-119.124,37.356,2020-09-20,1
277,-119.44,37.312,2020-09-14,1
278,-123.38,40.097,2020-09-09,1
