,NDVI,EVI,SolarZenith,longitude,latitude,date
118,2710.0,1327.0,2365.0,-119.72694444,36.71888888,2010-07-25
119,1751.0,1187.0,3009.0,-120.37305555,36.18,2010-08-06
120,4504.0,3044.0,2707.0,-119.565,36.67805555,2010-08-09
121,3246.0,2058.0,2722.0,-119.60194444,36.83194444,2010-08-10
122,6062.0,3975.0,2699.0,-119.43,36.66194444,2010-08-12
123,3879.0,2478.0,2699.0,-119.40305555,36.675,2010-08-12
124,3609.0,2393.0,2714.0,-119.78611111,36.63388888,2010-08-12
125,3854.0,2647.0,2716.0,-119.66111111,36.73694444,2010-08-14
126,3631.0,2704.0,3056.0,-120.38694444,36.74888888,2010-08-15
127,2522.0,1800.0,3058.0,-120.38388888,36.765,2010-08-15
128,1283.0,907.0,3172.0,-120.38888888,36.60305555,2010-08-22
129,1618.0,1009.0,3530.0,-120.56694444,36.77805555,2010-08-23
130,3645.0,2573.0,3146.0,-119.76388888,36.605,2010-08-27
131,3002.0,2029.0,3132.0,-119.55694444,36.53194444,2010-08-27
132,3127.0,2174.0,3151.0,-119.785,36.64111111,2010-08-27
133,3204.0,2173.0,3486.0,-119.78611111,36.63388888,2010-08-27
134,5057.0,3692.0,3524.0,-120.405,36.78388888,2010-08-28
135,1635.0,1103.0,3502.0,-120.38888888,36.545,2010-08-28
136,3860.0,2686.0,3165.0,-119.675,36.85611111,2010-08-28
137,4304.0,3019.0,4008.0,-119.88111111,36.54694444,2010-09-08
138,4036.0,2565.0,3669.0,-120.19888888,36.60305555,2010-09-10
139,2848.0,1831.0,4024.0,-119.56888888,36.825,2010-09-13
140,4586.0,3108.0,3657.0,-119.85388888,36.59,2010-09-15
141,4105.0,2699.0,4921.0,-119.81305555,36.69194444,2010-10-10
142,5067.0,3295.0,5381.0,-119.395,36.58111111,2010-10-11
143,3023.0,2108.0,4913.0,-119.845,36.605,2010-10-15
144,3395.0,2204.0,4918.0,-119.68194444,36.70694444,2010-10-16
145,4972.0,3103.0,4910.0,-119.64611111,36.62694444,2010-10-24
146,4295.0,2466.0,5583.0,-119.62805555,36.66305555,2010-10-29
147,2671.0,1184.0,5632.0,-120.6,36.95305555,2010-10-29
148,3962.0,2133.0,5634.0,-120.62694444,36.96694444,2010-11-02
149,2389.0,1735.0,1981.0,-120.38694444,36.765,2010-07-03
150,3224.0,2214.0,2121.0,-119.68388888,36.88611111,2010-07-03
151,4238.0,3183.0,2098.0,-119.52805555,36.69194444,2010-07-03
152,2849.0,1582.0,1953.0,-119.725,36.97388888,2010-07-03
153,5707.0,3679.0,1916.0,-119.71111111,36.42388888,2010-07-04
154,3882.0,2744.0,2100.0,-119.57388888,36.66305555,2010-07-04
155,5382.0,3820.0,1963.0,-120.39,36.50305555,2010-07-04
156,1463.0,1192.0,1902.0,-119.72694444,36.69305555,2010-07-04
157,3144.0,2164.0,2336.0,-119.85111111,36.71305555,2010-07-05
158,2270.0,1693.0,2144.0,-120.39111111,36.76194444,2010-07-09
159,3597.0,2543.0,2111.0,-119.70305555,36.64888888,2010-07-09
160,3597.0,2543.0,2111.0,-119.70305555,36.64888888,2010-07-09
161,5442.0,4521.0,2307.0,-119.565,36.67805555,2010-07-10
162,3115.0,2176.0,2145.0,-120.36305555,36.79,2010-07-10
163,5518.0,3515.0,2081.0,-119.69888888,36.43805555,2010-07-11
164,3584.0,2555.0,2090.0,-119.565,36.68388888,2010-07-12
165,2298.0,1452.0,2144.0,-120.38305555,36.77,2010-07-14
166,3918.0,2678.0,2120.0,-119.72694444,36.72111111,2010-07-17
167,3368.0,2468.0,2403.0,-120.37111111,36.74805555,2010-07-26
168,2779.0,2058.0,2805.0,-119.73694444,36.67611111,2010-07-26
169,4603.0,3231.0,2364.0,-119.77805555,36.67305555,2010-07-27
170,4495.0,3445.0,2562.0,-119.65611111,36.53,2010-07-28
171,1307.0,924.0,2367.0,-119.76388888,36.71694444,2010-07-28
172,3102.0,2240.0,2361.0,-119.78194444,36.64111111,2010-07-31
173,1874.0,1271.0,2628.0,-120.24694444,36.25388888,2010-07-31
174,3740.0,2410.0,2358.0,-119.525,36.78611111,2010-08-02
175,3824.0,2626.0,3493.0,-119.58305555,36.78805555,2010-08-31
176,2332.0,1650.0,3522.0,-120.38388888,36.76694444,2010-08-31
177,3287.0,2104.0,3363.0,-119.79111111,36.89694444,2010-08-31
178,3824.0,2626.0,3493.0,-119.58305555,36.78888888,2010-08-31
179,1838.0,1387.0,3668.0,-119.75694444,36.70694444,2010-08-31
180,3393.0,2272.0,3137.0,-119.61111111,36.55694444,2010-09-03
181,1882.0,1226.0,3152.0,-119.73694444,36.67611111,2010-09-03
182,2660.0,1758.0,3152.0,-119.73694444,36.675,2010-09-03
183,4361.0,2996.0,3495.0,-119.85305555,36.69888888,2010-09-04
184,3474.0,2377.0,3131.0,-119.41305555,36.58194444,2010-09-05
185,4419.0,2673.0,3311.0,-119.535,36.73611111,2010-09-05
186,2063.0,1467.0,3686.0,-120.38694444,36.72,2010-09-22
187,3701.0,2419.0,4208.0,-119.76388888,36.59305555,2010-09-24
188,3615.0,2348.0,4212.0,-119.755,36.64888888,2010-09-25
189,3455.0,2308.0,4563.0,-119.80388888,36.59111111,2010-09-25
190,3221.0,1784.0,4214.0,-119.50194444,36.73,2010-09-25
191,3991.0,2703.0,4573.0,-119.84388888,36.67805555,2010-09-26
192,4822.0,3064.0,4565.0,-119.85388888,36.595,2010-09-30
193,3947.0,2448.0,4575.0,-119.655,36.74805555,2010-09-30
194,5548.0,3821.0,4565.0,-119.72694444,36.63305555,2010-10-02
195,4689.0,3093.0,4576.0,-119.88111111,36.69888888,2010-10-03
196,3541.0,2314.0,4555.0,-119.59,36.56888888,2010-10-03
197,5887.0,3484.0,5410.0,-119.58805555,36.57611111,2010-11-03
198,4020.0,1995.0,5868.0,-119.58388888,36.79388888,2010-11-16
199,5730.0,3013.0,5846.0,-119.40194444,36.60388888,2010-11-17
200,4991.0,2734.0,5931.0,-120.49805555,37.285,2010-01-02
