,YEAR,MO,DY,ALLSKY_SFC_LW_DWN,PRECTOT,PS,QV2M,RH2M,SRF_ALB,T10M,T10M_MAX,T10M_MIN,T10M_RANGE,TQV,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE
14373,2013,8,12,36.0,92.59,334.8,3.2,1.27,17.02,5.98,0.62,2.57,2.84,14.59,12.6,25.15,1.84,4.25,31.62,23.08,2.98,0.16,0.0
14374,2013,5,12,83.94,100.79,307.04,4.97,4.43,4.59,8.18,3.41,1.55,5.6,12.04,16.63,13.19,4.27,6.31,16.63,14.07,1.88,0.16,0.0
14375,2013,6,6,27.69,89.75,322.09,3.78,1.95,19.21,5.55,1.41,2.38,3.16,15.99,14.95,27.66,2.15,5.55,35.19,24.89,3.6,0.22,0.0
14376,2013,6,29,50.12,93.77,310.55,1.03,0.86,12.37,7.93,0.1,0.93,1.91,16.64,18.29,20.27,0.5,2.86,29.01,22.55,2.0,0.09,0.0
14377,2013,7,5,362.91,24.87,26.15,4.55,15.5,3.37,17.25,6.17,1.62,2.78,40.19,32.75,8.18,3.81,92.05,1.22,28.4,4.59,0.14,0.0
14378,2013,5,30,246.66,12.94,7.34,2.6,10.87,0.98,7.26,3.37,0.77,0.35,47.69,18.13,4.64,1.92,84.19,0.02,10.13,0.98,0.11,0.0
14379,2013,5,16,4.48,12.42,1.44,19.32,3.87,17.15,24.8,92.3,13.85,46.19,10.95,5.2,5.69,5.86,2.7,7.12,328.27,0.72,0.2,0.0
14380,2013,4,14,0.2,78.75,1.91,88.8,0.0,0.2,1.56,1.81,2.77,0.48,0.04,3.25,7.72,289.64,3.72,8.48,5.57,-2.15,0.12,0.67
14381,2013,3,12,274.51,16.71,7.24,3.56,14.77,2.61,9.53,5.02,1.45,1.7,27.44,24.3,3.05,2.8,90.39,0.88,13.19,3.49,0.21,0.0
14382,2013,8,23,13.34,0.02,26.9,4.15,0.84,8.73,83.67,0.85,0.4,0.43,3.34,274.15,29.44,19.05,17.46,3.73,1.67,13.55,0.12,0.0
14383,2013,5,18,9.14,0.92,24.93,4.03,3.24,7.76,92.8,4.16,2.17,2.81,3.48,290.41,35.75,17.09,19.45,5.65,4.07,15.79,0.2,0.0
14384,2013,8,6,12.16,0.13,24.41,3.54,1.02,8.98,79.34,1.15,0.45,0.62,4.34,282.04,25.81,17.5,15.33,4.79,2.46,12.25,0.14,0.0
14385,2013,4,30,2.68,0.13,15.0,4.7,0.21,5.04,94.54,0.34,1.98,0.2,1.78,254.09,67.5,8.77,8.58,3.76,2.79,12.32,0.11,0.0
14386,2013,6,28,15.25,0.73,27.97,6.96,3.23,14.36,75.09,3.96,1.27,2.07,3.94,342.95,37.81,21.05,22.62,5.2,2.9,12.72,0.12,0.17
14387,2013,7,31,10.27,0.0,26.66,4.58,0.62,12.62,88.33,0.62,0.38,0.18,3.27,315.88,33.75,18.68,18.51,3.63,1.78,16.39,0.1,0.02
14388,2013,10,4,11.82,2.72,23.25,1.95,5.45,4.95,92.75,8.17,4.62,5.2,7.02,274.7,16.06,16.79,17.15,11.63,7.66,11.43,0.16,0.0
14389,2013,8,15,3.2,6.64,0.15,19.18,2.66,20.12,26.97,81.17,12.05,27.31,14.91,3.31,5.91,4.21,1.36,6.06,295.55,0.11,0.1,0.0
14390,2013,9,13,19.24,10.38,8.0,333.96,14.72,1.13,19.33,2.07,3.1,25.1,19.22,51.06,2.34,80.86,0.24,0.75,3.86,2.1,0.41,0.13
14391,2013,6,25,26.13,14.95,10.25,337.02,15.15,1.96,22.3,2.69,5.15,30.08,30.41,59.69,4.03,94.18,0.17,0.3,5.45,3.86,0.02,0.2
14392,2013,8,4,18.19,90.43,314.76,3.8,0.96,14.8,3.6,0.4,3.4,2.63,18.06,15.95,26.89,1.81,5.18,32.86,24.76,4.21,0.2,0.0
14393,2013,5,23,27.88,92.33,283.49,3.34,1.21,16.05,2.93,0.67,2.67,2.82,6.46,5.66,17.65,2.02,4.26,22.51,15.04,3.05,0.2,0.0
14394,2013,5,3,3.53,4.47,0.49,22.99,3.37,23.8,31.55,94.15,15.67,14.56,15.88,3.85,4.91,2.26,2.05,5.4,272.89,0.32,0.22,0.0
14395,2013,7,29,30.69,81.0,292.97,3.66,1.54,10.45,4.76,0.71,2.95,3.25,14.87,9.05,19.43,1.67,6.76,25.31,19.51,5.23,0.1,0.0
14396,2013,7,25,398.23,28.27,28.93,4.25,14.8,2.88,20.84,6.18,1.93,2.57,28.56,35.64,7.63,3.55,89.08,1.62,30.98,4.49,0.22,0.08
14397,2013,7,31,18.68,12.62,315.88,0.62,88.33,33.75,4.58,0.18,1.78,0.38,16.39,0.62,3.27,18.51,10.27,3.63,26.66,0.0,0.02,0.1
14398,2013,5,17,47.75,92.58,308.82,4.13,1.98,12.06,5.86,0.94,3.2,3.73,10.58,14.05,19.54,2.62,5.42,22.63,16.71,3.45,0.25,0.0
14399,2013,8,31,0.98,12.73,1.13,20.92,2.16,23.4,29.28,89.61,11.48,32.94,17.8,0.99,1.91,5.86,0.41,3.05,340.79,0.01,0.12,0.0
14400,2013,7,3,18.4,21.17,359.52,2.16,74.92,56.38,9.22,1.27,1.8,0.41,13.37,2.31,3.0,21.04,13.01,3.41,26.38,0.16,0.79,0.17
14401,2013,8,24,26.34,19.95,379.27,2.34,91.53,33.56,7.08,1.28,2.32,0.6,13.68,2.52,3.53,27.4,20.1,4.13,33.78,0.19,0.63,0.15
14402,2013,8,18,21.58,19.35,332.82,0.45,94.18,55.0,7.87,0.23,2.16,1.23,17.49,0.5,2.36,20.93,13.11,3.6,30.6,0.05,0.0,0.11
14403,2013,9,23,23.26,11.84,301.39,3.23,96.59,39.44,6.23,1.97,2.82,0.38,15.18,3.48,4.15,23.79,15.76,4.53,30.95,0.24,0.0,0.22
14404,2013,8,21,0.77,18.98,0.84,20.1,1.61,19.87,25.73,81.07,10.57,52.19,15.16,1.18,1.3,8.54,0.77,2.14,323.23,0.41,0.14,2.46
14405,2013,7,4,27.25,26.49,382.37,4.44,90.0,33.06,7.93,2.27,3.3,1.06,15.67,4.91,5.8,30.58,20.23,6.87,35.91,0.47,0.0,0.16
14406,2013,9,10,26.24,16.9,329.33,1.31,92.78,25.81,5.37,1.43,3.11,1.81,14.59,2.1,2.48,26.63,19.19,4.3,33.77,0.79,0.0,0.12
14407,2013,8,10,34.19,81.04,293.0,3.05,1.06,11.51,4.03,0.57,2.48,2.75,10.56,7.66,15.9,1.48,5.62,22.07,15.3,4.56,0.11,0.0
14408,2013,9,19,31.62,92.04,311.02,3.63,1.26,17.8,4.88,0.64,2.99,2.65,15.08,8.88,24.18,1.68,4.89,32.88,22.9,3.63,0.18,0.0
14409,2013,3,2,16.22,6.5,281.09,1.51,90.62,32.0,3.36,1.59,2.7,2.18,10.7,2.62,1.46,12.33,11.94,3.63,22.64,1.12,0.0,0.21
14410,2013,8,10,0.71,22.62,0.14,16.25,1.15,17.46,22.12,94.35,8.61,62.81,13.51,0.71,2.3,8.0,0.2,2.44,328.55,0.0,0.1,0.3
14411,2013,8,16,352.52,27.19,27.45,5.24,11.33,3.95,21.74,5.65,0.41,1.72,27.94,33.06,6.59,2.4,94.28,0.28,29.15,4.23,0.2,0.0
14412,2013,6,11,0.3,8.72,0.69,11.67,2.27,11.23,16.26,94.36,8.73,68.44,7.54,0.41,3.0,5.86,0.23,3.69,288.27,0.12,0.11,0.0
14413,2013,11,13,11.75,9.17,290.2,0.52,90.33,66.19,5.55,0.2,2.12,1.49,13.2,0.52,0.95,10.32,6.69,2.44,19.88,0.01,0.01,0.13
14414,2013,5,11,31.12,94.55,322.55,1.93,0.17,16.04,5.55,0.16,1.77,1.69,17.47,15.24,25.91,1.03,2.7,33.5,25.39,2.53,0.18,0.0
14415,2013,8,18,29.69,29.48,387.41,3.55,90.25,27.56,7.63,2.13,3.13,0.72,12.62,4.03,4.73,31.18,23.85,5.45,36.48,0.48,0.23,0.2
14416,2013,3,25,304.63,16.94,10.4,4.12,8.27,3.36,13.93,4.52,0.39,1.57,57.88,22.19,6.65,2.04,98.47,0.2,16.65,3.56,0.14,0.0
14417,2013,12,2,283.6,16.85,7.52,3.65,9.61,2.45,13.5,4.06,0.41,1.71,44.06,23.11,4.76,2.71,97.07,0.35,13.98,2.79,0.21,0.0
