,ozone,longitude,latitude,date
17972,365.0,-123.367017,39.060517,2015-05-23
17973,365.0,-123.313183,39.228517,2015-05-23
17974,362.0,-120.64875,37.4916,2015-05-23
17975,376.0,-122.26185,40.19345,2015-05-24
17976,365.0,-116.94495,33.2099,2015-05-24
17977,354.0,-120.644067,38.745733,2015-05-25
17978,353.0,-122.633417,41.756233,2015-05-26
17979,356.0,-120.2388,37.8336,2015-05-26
17980,356.0,-120.4498,37.29645,2015-05-26
17981,354.0,-122.331583,40.229183,2015-05-26
17982,360.0,-123.438,39.0616,2015-05-26
17983,343.0,-117.572967,34.495367,2015-05-26
17984,337.0,-121.02345,39.05925,2015-05-27
17985,329.0,-124.033683,41.520817,2015-05-29
17986,320.0,-120.836883,37.01285,2015-05-29
17987,319.0,-122.983133,38.523233,2015-05-29
17988,320.0,-121.068983,38.9772,2015-05-29
17989,315.0,-120.997033,38.645467,2015-05-30
17990,315.0,-120.7315,38.617533,2015-05-30
17991,322.0,-122.979217,38.524467,2015-05-30
17992,310.0,-119.7596,37.454283,2015-05-31
17993,315.0,-120.752533,38.361067,2015-05-31
17994,338.0,-123.856467,40.23185,2015-06-01
17995,315.0,-120.674783,38.748933,2015-06-01
17996,306.0,-117.100983,34.067917,2015-06-01
17997,323.0,-121.084383,39.2114,2015-06-01
17998,323.0,-121.5941,39.834017,2015-06-01
17999,313.0,-120.509098,36.9822,2015-06-01
18000,315.0,-120.86825,38.661283,2015-06-02
18001,312.0,-119.526,36.604767,2015-06-02
18002,344.0,-123.33775,39.2959,2015-06-03
18003,302.0,-118.8049,36.145017,2015-06-08
18004,299.0,-117.591667,34.43,2015-06-08
18005,311.0,-117.20755,33.29455,2015-06-09
18006,320.0,-122.984867,38.365333,2015-06-09
18007,330.0,-120.208833,37.76,2015-06-10
18008,319.0,-120.323517,38.231467,2015-06-10
18009,320.0,-123.818233,39.39495,2015-06-14
18010,320.0,-121.147783,38.780783,2015-06-14
18011,314.0,-120.369383,38.183667,2015-06-14
18012,322.0,-121.035217,39.156417,2015-06-14
18013,300.0,-119.721133,37.359167,2015-06-15
18014,338.0,-123.1927,39.192167,2015-06-15
18015,326.0,-121.024767,39.157917,2015-06-15
18016,304.0,-120.200299,36.123069,2015-06-15
18017,347.0,-122.471583,41.866717,2015-06-15
18018,306.0,-120.578717,37.337017,2015-06-15
18019,311.0,-121.787333,39.612867,2015-06-16
18020,308.0,-121.096817,35.563683,2015-06-16
18021,314.0,-123.817667,39.394483,2015-06-18
18022,317.0,-121.911567,40.501233,2015-06-19
18023,300.0,-119.5562,36.742517,2015-06-19
18024,323.0,-122.313967,41.295917,2015-06-20
18025,317.0,-123.2414,39.312633,2015-06-20
18026,298.0,-117.141968,33.498325,2015-06-21
18027,330.0,-122.342233,41.32005,2015-06-22
18028,296.0,-116.633283,32.865933,2015-06-22
18029,333.0,-123.388967,39.424017,2015-06-23
18030,295.0,-116.955667,34.406667,2015-06-24
18031,313.0,-124.15135,41.077433,2015-06-26
18032,313.0,-124.15135,41.077433,2015-06-26
18033,394.0,-121.037299,39.294929,2015-02-22
18034,338.0,-117.25843,33.601007,2015-04-13
18035,337.0,-114.60526,33.598992,2015-05-12
18036,433.0,-121.172045,38.446311,2015-05-07
18037,358.0,-117.101453,34.070894,2015-04-11
18038,321.0,-117.164145,34.121058,2015-04-16
18039,314.0,-116.894798,33.050235,2015-04-27
18040,332.0,-120.625815,35.30462,2015-04-12
18041,350.0,-120.55306,35.071848,2015-05-09
18042,347.0,-119.819169,34.46689,2015-03-24
18043,351.0,-121.365831,37.006281,2015-04-03
18044,355.0,-122.328941,40.505569,2015-04-04
18045,380.0,-122.320092,40.696325,2015-04-10
18046,314.0,-122.300864,40.547154,2015-04-12
