FIRE_YEAR,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE,STATE,DISCOVERY_DATE,FIRE_SIZE,DATE
2010,Miscellaneous,36.62,-119.78611111,CA,2455435.5,0.3,2010-08-27
2010,Miscellaneous,36.64111111,-119.785,CA,2455435.5,1.0,2010-08-27
2010,Miscellaneous,36.63388888,-119.78611111,CA,2455435.5,0.3,2010-08-27
2010,Miscellaneous,36.78388888,-120.405,CA,2455436.5,1.0,2010-08-28
2010,Miscellaneous,36.545,-120.38888888,CA,2455436.5,0.4,2010-08-28
2010,Children,36.85611111,-119.675,CA,2455436.5,0.3,2010-08-28
2010,Miscellaneous,36.54694444,-119.88111111,CA,2455447.5,0.1,2010-09-08
2010,Debris Burning,36.60305555,-120.19888888,CA,2455449.5,1.0,2010-09-10
2010,Miscellaneous,36.825,-119.56888888,CA,2455452.5,1.0,2010-09-13
2010,Children,36.60888888,-119.58388888,CA,2455453.5,1.0,2010-09-14
2010,Miscellaneous,36.59,-119.85388888,CA,2455454.5,1.0,2010-09-15
2010,Miscellaneous,36.34194444,-120.30194444,CA,2455456.5,6.0,2010-09-17
2010,Debris Burning,36.69194444,-119.81305555,CA,2455479.5,1.0,2010-10-10
2010,Debris Burning,36.58111111,-119.395,CA,2455480.5,5.0,2010-10-11
2010,Equipment Use,36.81111111,-119.63388888,CA,2455480.5,1.0,2010-10-11
2010,Miscellaneous,36.605,-119.845,CA,2455484.5,1.0,2010-10-15
2010,Miscellaneous,36.70694444,-119.68194444,CA,2455485.5,0.2,2010-10-16
2010,Miscellaneous,36.62694444,-119.64611111,CA,2455493.5,1.0,2010-10-24
2010,Debris Burning,36.66305555,-119.62805555,CA,2455498.5,1.0,2010-10-29
2010,Debris Burning,36.95305555,-120.6,CA,2455498.5,1.0,2010-10-29
2010,Miscellaneous,36.96694444,-120.62694444,CA,2455502.5,0.1,2010-11-02
2010,Miscellaneous,36.765,-120.38694444,CA,2455380.5,0.3,2010-07-03
2010,Equipment Use,36.88611111,-119.68388888,CA,2455380.5,1.0,2010-07-03
2010,Equipment Use,36.72805555,-119.45111111,CA,2455380.5,1.0,2010-07-03
2010,Children,36.69194444,-119.52805555,CA,2455380.5,1.0,2010-07-03
2010,Children,36.97388888,-119.725,CA,2455380.5,1.0,2010-07-03
2010,Miscellaneous,36.42388888,-119.71111111,CA,2455381.5,2.0,2010-07-04
2010,Arson,36.66305555,-119.57388888,CA,2455381.5,1.0,2010-07-04
2010,Miscellaneous,36.61305555,-119.53,CA,2455381.5,0.1,2010-07-04
2010,Miscellaneous,36.50305555,-120.39,CA,2455381.5,1.0,2010-07-04
2010,Miscellaneous,36.69305555,-119.72694444,CA,2455381.5,0.1,2010-07-04
2010,Miscellaneous,36.71305555,-119.85111111,CA,2455382.5,0.1,2010-07-05
2010,Miscellaneous,36.76194444,-120.39111111,CA,2455386.5,5.0,2010-07-09
2010,Railroad,36.64888888,-119.70305555,CA,2455386.5,1.0,2010-07-09
2010,Railroad,36.64888888,-119.70305555,CA,2455386.5,1.0,2010-07-09
2010,Miscellaneous,36.67805555,-119.565,CA,2455387.5,1.0,2010-07-10
2010,Miscellaneous,36.79,-120.36305555,CA,2455387.5,23.0,2010-07-10
2010,Miscellaneous,36.43805555,-119.69888888,CA,2455388.5,5.0,2010-07-11
2010,Miscellaneous,36.20805555,-120.37305555,CA,2455388.5,57.0,2010-07-11
2010,Arson,36.68388888,-119.565,CA,2455389.5,0.5,2010-07-12
