,County,Population,PopulationDensity,HousingUnits,HousingOccupied,HomeValue,Income,AreaCode,WaterArea
96,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
97,Fresno County,6313.0,57.0,1840.0,1714.0,158300.0,43864.0,559,0.01
98,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
99,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
100,Fresno County,6987.0,87.0,1693.0,1601.0,120400.0,23238.0,559,0.0
101,Fresno County,6987.0,87.0,1693.0,1601.0,120400.0,23238.0,559,0.0
102,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
103,Fresno County,3468.0,84.0,1058.0,1001.0,171500.0,41325.0,559,0.0
104,Fresno County,9581.0,27.0,2782.0,2491.0,120300.0,32865.0,209,2.11
105,Fresno County,15719.0,685.0,3875.0,3644.0,112800.0,35499.0,559,0.0
106,Fresno County,41087.0,251.0,11392.0,10376.0,128700.0,29275.0,559,0.0
107,Fresno County,6313.0,57.0,1840.0,1714.0,158300.0,43864.0,559,0.01
108,Fresno County,1114.0,10.0,302.0,263.0,126400.0,30523.0,559,0.34
109,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
110,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
111,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
112,Fresno County,41087.0,251.0,11392.0,10376.0,128700.0,29275.0,559,0.0
113,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
114,Fresno County,3468.0,84.0,1058.0,1001.0,171500.0,41325.0,559,0.0
115,,,,,,,,,
116,Fresno County,1359.0,14.0,613.0,536.0,415000.0,32560.0,559,6.08
117,Fresno County,28965.0,162.0,10079.0,9557.0,358500.0,106235.0,559,1.33
118,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
119,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
120,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
121,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
122,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
123,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
124,Fresno County,6987.0,87.0,1693.0,1601.0,120400.0,23238.0,559,0.0
125,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
126,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
127,Fresno County,5640.0,92.0,1584.0,1466.0,233000.0,47361.0,559,0.0
128,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
129,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
130,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
131,Fresno County,19504.0,25.0,4836.0,4317.0,148300.0,47088.0,559,0.3
132,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
133,Fresno County,28965.0,162.0,10079.0,9557.0,358500.0,106235.0,559,1.33
134,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
135,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
136,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
137,Fresno County,,,,,,,559,
138,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
139,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
140,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
141,Fresno County,9581.0,27.0,2782.0,2491.0,120300.0,32865.0,209,2.11
142,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
143,Fresno County,15941.0,199.0,5587.0,5255.0,225900.0,55266.0,559,0.31
144,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
145,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
146,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
147,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
148,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
149,Fresno County,28965.0,162.0,10079.0,9557.0,358500.0,106235.0,559,1.33
150,Fresno County,5640.0,92.0,1584.0,1466.0,233000.0,47361.0,559,0.0
151,Fresno County,4675.0,58.0,1130.0,1058.0,113800.0,26978.0,559,0.52
152,Fresno County,28965.0,162.0,10079.0,9557.0,358500.0,106235.0,559,1.33
153,Fresno County,30237.0,384.0,8979.0,8385.0,175200.0,43790.0,559,0.21
154,Fresno County,41087.0,251.0,11392.0,10376.0,128700.0,29275.0,559,0.0
155,Fresno County,6959.0,3395.0,1923.0,1752.0,118500.0,16597.0,209,0.0
156,Tulare County,28262.0,424.0,7808.0,7399.0,153400.0,38110.0,559,0.0
157,Fresno County,,,,,,,559,
158,Fresno County,41087.0,251.0,11392.0,10376.0,128700.0,29275.0,559,0.0
159,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
160,Fresno County,7313.0,296.0,2416.0,2237.0,222400.0,45230.0,559,0.0
161,Fresno County,2627.0,189.0,709.0,651.0,226100.0,31108.0,559,0.0
162,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
163,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
164,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
165,Fresno County,28965.0,162.0,10079.0,9557.0,358500.0,106235.0,559,1.33
166,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
167,Fresno County,1359.0,14.0,613.0,536.0,415000.0,32560.0,559,6.08
168,Fresno County,3468.0,84.0,1058.0,1001.0,171500.0,41325.0,559,0.0
169,Fresno County,2627.0,189.0,709.0,651.0,226100.0,31108.0,559,0.0
170,Fresno County,15719.0,685.0,3875.0,3644.0,112800.0,35499.0,559,0.0
171,Fresno County,1114.0,10.0,302.0,263.0,126400.0,30523.0,559,0.34
